-2.000000 0.000000
-1.918367 0.005102
-1.836735 0.010204
-1.755102 0.015306
-1.673469 0.020408
-1.591837 0.025510
-1.510204 0.030612
-1.428571 0.035714
-1.346939 0.040816
-1.265306 0.045918
-1.183673 0.051020
-1.102041 0.056122
-1.020408 0.061224
-0.938776 0.066327
-0.857143 0.071429
-0.775510 0.076531
-0.693878 0.081633
-0.612245 0.086735
-0.530612 0.091837
-0.448980 0.095637
-0.367347 0.093242
-0.285714 0.084184
-0.204082 0.068461
-0.122449 0.046075
-0.040816 0.017024
0.040816 -0.017024
0.122449 -0.046075
0.204082 -0.068461
0.285714 -0.084184
0.367347 -0.093242
0.448980 -0.095637
0.530612 -0.091837
0.612245 -0.086735
0.693878 -0.081633
0.775510 -0.076531
0.857143 -0.071429
0.938776 -0.066327
1.020408 -0.061224
1.102041 -0.056122
1.183673 -0.051020
1.265306 -0.045918
1.346939 -0.040816
1.428571 -0.035714
1.510204 -0.030612
1.591837 -0.025510
1.673469 -0.020408
1.755102 -0.015306
1.836735 -0.010204
1.918367 -0.005102
