-5.000000 0.000000 0.000000
 -4.980000 0.364334 0.000000
 -4.960000 0.688990 0.000000
 -4.940000 0.976572 0.000000
 -4.920000 1.229564 0.000000
 -4.900000 1.450331 0.000000
 -4.880000 1.641124 0.000000
 -4.860000 1.804083 0.000000
 -4.840000 1.941246 0.000000
 -4.820000 2.054544 0.000000
 -4.800000 2.145813 0.000000
 -4.780000 2.216793 0.000000
 -4.760000 2.269134 0.000000
 -4.740000 2.304397 0.000000
 -4.720000 2.324060 0.000000
 -4.700000 2.329520 0.000000
 -4.680000 2.322096 0.000000
 -4.660000 2.303030 0.000000
 -4.640000 2.273496 0.000000
 -4.620000 2.234596 0.000000
 -4.600000 2.187369 0.000000
 -4.580000 2.132787 0.000000
 -4.560000 2.071765 0.000000
 -4.540000 2.005157 0.000000
 -4.520000 1.933763 0.000000
 -4.500000 1.858330 0.000000
 -4.480000 1.779553 0.000000
 -4.460000 1.698080 0.000000
 -4.440000 1.614510 0.000000
 -4.420000 1.529401 0.000000
 -4.400000 1.443266 0.000000
 -4.380000 1.356580 0.000000
 -4.360000 1.269778 0.000000
 -4.340000 1.183260 0.000000
 -4.320000 1.097391 0.000000
 -4.300000 1.012502 0.000000
 -4.280000 0.928894 0.000000
 -4.260000 0.846838 0.000000
 -4.240000 0.766578 0.000000
 -4.220000 0.688331 0.000000
 -4.200000 0.612287 0.000000
 -4.180000 0.538615 0.000000
 -4.160000 0.467461 0.000000
 -4.140000 0.398949 0.000000
 -4.120000 0.333185 0.000000
 -4.100000 0.270255 0.000000
 -4.080000 0.210229 0.000000
 -4.060000 0.153160 0.000000
 -4.040000 0.099085 0.000000
 -4.020000 0.048028 0.000000
 -4.000000 0.000000 0.000000
 -3.980000 -0.045000 0.000000
 -3.960000 -0.086986 0.000000
 -3.940000 -0.125980 0.000000
 -3.920000 -0.162016 0.000000
 -3.900000 -0.195135 0.000000
 -3.880000 -0.225386 0.000000
 -3.860000 -0.252827 0.000000
 -3.840000 -0.277521 0.000000
 -3.820000 -0.299537 0.000000
 -3.800000 -0.318951 0.000001
 -3.780000 -0.335841 0.000001
 -3.760000 -0.350291 0.000001
 -3.740000 -0.362388 0.000001
 -3.720000 -0.372224 0.000001
